showid,name,season,release_year,episode_count
80104434,Animal Kingdom,Season 5,2021,13
80104434,Animal Kingdom,Season 6,2022,13
81482494,Encounter,Season 1,2018,16
81482616,Couple on the Backtrack,Season 1,2017,12
81482636,Witch at Court,Season 1,2017,16
81482654,Mad Dog,Season 1,2017,16
81488784,Detective Forst,Season 1,2024,6
81489151,Till Death,Season 1,2021,30
81489151,Till Death,Season 2,2022,30
81489151,Till Death,Season 3,2023,30
81495763,Newton's Cradle,Season 1,2021,30
81500002,Rain or Shine,Season 1,2017,16
70286901,Masha and the Bear,Season 1,2009,9
70286901,Masha and the Bear,Season 2,2013,8
70286901,Masha and the Bear,Season 3,2015,8
70286901,Masha and the Bear,Season 4,2019,4
70286901,Masha and the Bear,Season 5,2021,8
81502033,Love After Divorce,Season 1,2023,14
81504944,The Gentlemen's League,2021-2022,2021,72
81504944,The Gentlemen's League,2023,2023,36
81504944,The Gentlemen's League,2023/2024,2023,9
81506779,Love You as the World Ends,Season 1,2021,16
81507860,The Apprentice: ONE Championship Edition,Season 1,2021,13
81507860,The Apprentice: ONE Championship Edition,Season 2,2023,8
81511410,SPY x FAMILY,Season 1,2022,25
81511410,SPY x FAMILY,Season 2,2023,12
81166179,Doctor X Surgeon Michiko Daimon,Season 1,2021,10
81517098,The Devil Judge,Season 1,2021,16
81520244,Hometown,Season 1,2021,12
81520276,Secret Royal Inspector & Joy,Season 1,2021,16
81520295,Happiness,Season 1,2021,12
81551869,The Cursed,Season 1,2020,12
81552562,The Penthouse: War in Life,Season 1,2020,21
81552562,The Penthouse: War in Life,Season 2,2021,13
81552562,The Penthouse: War in Life,Season 3,2021,14
81552615,Taxi Driver,Season 1,2021,16
81556755,Black & White,Season 1,2009,24
81556822,Boss & Me,Season 1,2014,33
81556857,Black Dog,Season 1,2019,16
81556875,My Unfamiliar Family,Season 1,2020,16
81556894,Missing: The Other Side,Missing: The Other Side,2020,12
81556894,Missing: The Other Side,Missing: The Other Side 2,2022,14
81556908,Birthcare Center,Season 1,2020,8
81564899,Delicious in Dungeon,Season 1,2024,4
81566868,Falling Into Your Smile,Season 1,2021,31
81567663,Beyblade Burst Surge,Season 1,2020,26
81572172,Artificial City,Season 1,2021,20
81572195,The One and Only,Season 1,2021,16
81574246,Hell's Paradise: Jigokuraku,Season 1,2023,13
81585965,2020,Season 1,2021,30
81587524,Ghost Doctor,Season 1,2022,16
81590663,The Trust,Season 1,2024,8
81591169,Becoming Abi,Season 1,2021,6
81591183,Afrobeats: The Backstory,Season 1,2021,12
81594857,Never Give Up,Season 1,2022,16
81594875,Unlock My Boss,Season 1,2022,12
81594904,Summer Strike,Season 1,2022,12
81465196,Backstreet Rookie,Season 1,2020,16
81604431,Sh**ting Stars,Season 1,2022,16
81605075,Who Rules the World,Season 1,2022,40
81607695,Barbie: A Touch of Magic,Season 1,2023,13
81608592,The Bequeathed,Season 1,2024,6
81609047,Dali & Cocky Prince,Season 1,2021,16
81609066,Police University,Season 1,2021,16
81609084,Sell Your Haunted House,Season 1,2021,16
81609154,Young Lady and Gentleman,Season 1,2021,52
81609208,Homemade Love Story,Season 1,2020,50
81614459,A Clean Sweep,Part 1,2022,35
81614459,A Clean Sweep,Part 2,2023,35
81616526,Superbro,Season 2,2021,6
81616526,Superbro,Season 1,2017,6
81616999,Land of Spirits: The Young Shaman,Season 1,2022,8
81617257,Scattered Barriers,Season 1,2022,6
81617755,Faten Amal Harby,Season 1,2022,30
81617801,Shadow,Season 1,2022,30
81618666,Military Prosecutor Doberman,Season 1,2022,16
81620556,Mechamato The Animated Series,Season 1,2021,13
81620556,Mechamato The Animated Series,Season 2,2022,13
80111373,Chesapeake Shores,Season 1,2016,10
80111373,Chesapeake Shores,Season 2,2017,10
80111373,Chesapeake Shores,Season 3,2018,10
80111373,Chesapeake Shores,Season 4,2019,6
80111373,Chesapeake Shores,Season 5,2021,10
80111373,Chesapeake Shores,Season 6,2022,10
81620852,American Nightmare,Season 1,2024,3
81622849,Love Between Fairy and Devil,Season 1,2022,36
81626839,Love is Blind: Sweden,Season 1,2024,10
81628881,Cleaning Up,Season 1,2022,16
81628902,One the Woman,Season 1,2021,16
81628920,Through the Darkness,Season 1,2022,12
81630854,Scarlet Hill,Season 1,2022,8
81633653,The Longest Promise,Season 1,2022,43
81634726,Erin & Aaron,Season 1,2023,13
81639098,End of the Line,Season 1,2024,7
81640753,Blue Lock,Season 1,2022,24
81641799,A Family Affair,Season 1,2022,45
81410833,The Full-Time Wife Escapist,Season 1,2016,11
81410833,The Full-Time Wife Escapist,Season 2,2021,1
81642952,Ikebukuro West Gate Park,Season 1,2000,12
81642967,Tiger and Dragon,Season 1,2005,12
81646286,The Plan,Season 1,2023,5
81646975,Informa,Season 1,2023,10
81488903,Saving My Stupid Youth,Season 1,2014,10
81649772,Dearest,Season 1,2021,10
81649792,Heaven and Hell: Soul Exchange,Season 1,2021,10
81649819,Invisible,Season 1,2022,10
81422314,Mr. Queen,Season 1,2020,20
81410834,True Beauty,Season 1,2020,16
81488912,Doom at Your Service,Season 1,2021,16
81665637,Why didn’t I tell you a million times?,Season 1,2023,10
81666400,Below Deck Sailing Yacht,Season 1,2020,17
81672245,Agency,Season 1,2023,16
81672787,Campfire Cooking in Another World with My Absurd Skill,Season 1,2023,12
81675379,Fisk,Season 1,2021,6
